action_id,object,count
place_in,clothes_hamper,16
place_on,candle holder,16
place_on,bathroom towel,16
place_on,table lamp,16
polish,sink,16
reposition,furnace,16
reposition,air vent,16
reposition,parapet,16
set_control,curtain,16
set_up,ladder,16
set_up,mouse,16
store,vacuum cleaner,16
store,mouse,16
store,towel,16
straighten,kitchen appliance,16
straighten,l-shaped sofa,16
straighten,bar chair,16
straighten,closet door,16
straighten,computer desk,16
tuck,chair,16
turn_on,screen,16
wipe,blinds,16
wipe,barbecue,16
wipe,air conditioner,16
wipe,case,16
wipe,stack of papers,16
wipe,picture frame,16
align,exhibition panel,15
align,shoe,15
align,sign,15
attach,curtain rod,15
carry,pan,15
carry,plush toy,15
carry,umbrella,15
carry,stuffed animal,15
close,bathroom cabinet,15
dust,dustpan,15
dust,appliance,15
dust,staircase handrail,15
fill,tap,15
fill,toilet paper dispenser,15
inspect,wine_bottle,15
inspect,faucet,15
inspect,sign,15
open,handbag,15
pick_up,cutting board,15
pick_up,case,15
place_in,closet,15
place_in,bottle,15
place_in,ladder,15
place_on,bed table,15
place_on,lounge chair,15
plug_in,lamp,15
polish,flower vase,15
reposition,swivel chair,15
set_control,computer_keyboard,15
set_control,bed light,15
set_control,lampshade,15
stack,stack of books,15
store,tray,15
straighten,bed stand,15
straighten,computer equipment,15
straighten,stairs railing,15
straighten,shoe rack,15
straighten,storage shelving,15
straighten,decorative quilt,15
straighten,nightstand,15
straighten,bathroom accessory,15
straighten,bedframe,15
straighten,lamp,15
straighten,drawers,15
turn_off,speaker,15
turn_on,arcade game,15
wipe,storage cabinet,15
wipe,keyboard piano,15
wipe,dressing table,15
wipe,shelf with clutter,15
wipe,decorative plate,15
wipe,stone support structure,15
wipe,art frame,15
wipe,drinking fountain,15
wipe,office table,15
carry,boxes,14
carry,telephone,14
carry,board,14
close,shower door frame,14
close,shutters,14
dump,storage box,14
dust,bench,14
dust,column,14
fill,water fountain,14
fluff,pouffe,14
inspect,ironing board,14
inspect,document,14
load,washing machine and dryer,14
open,storage box,14
open,attic hatch,14
open,archway,14
pick_up,stack of towels,14
pick_up,glasses,14
pick_up,telephone,14
place_in,plush toy,14
place_in,rack,14
place_in,tray,14
place_on,flower stand,14
place_on,toilet paper,14
place_on,plate of food,14
place_on,folding chair,14
place_on,photo,14
place_on,ladder,14
plug_in,speaker,14
plug_in,amplifier,14
pull,stool,14
reposition,ornament,14
reposition,easy chair,14
reposition,desk,14
rinse,jar,14
set_up,side table,14
store,kitchen cabinet,14
straighten,wall panel,14
straighten,newspaper,14
straighten,refrigerator cabinet,14
straighten,closet shelf,14
straighten,paper storage,14
straighten,flowerpot,14
straighten,closet rod,14
straighten,massage bed,14
turn_off,printer,14
turn_off,light fixture,14
turn_on,record player,14
turn_on,pc tower,14
turn_on,bathtub,14
wipe,trashcan,14
wipe,photo mount,14
wipe,sliding door,14
wipe,drawer,14
wipe,clothes dryer,14
wipe,ironing board,14
wipe,knife,14
wipe,wall sign,14
wipe,shower hose/head,14
wipe,floor mat,14
wipe,refrigerator cabinet,14
wipe,washer-dryer,14
wipe,typewriter,14
wipe,molding,14
align,poster,13
attach,handle,13
carry,towel,13
carry,wood,13
carry,camera,13
carry,sled,13
carry,storage bin,13
close,jar,13
dust,curtain,13
dust,decorative plate,13
dust,music player,13
fill,basket,13
inspect,kitchen lower cabinet,13
inspect,laptop,13
inspect,laundry machine,13
inspect,stairs railing,13
inspect,fan,13
inspect,oven and stove,13
inspect,doorpost,13
inspect,fuse panel,13
inspect,tank,13
open,display cabinet,13
open,cardboard box,13
open,sliding door,13
open,microwave_oven,13
open,ceiling window,13
open,bath cabinet,13
place_in,shelving,13
place_in,shoe,13
place_on,couch,13
place_on,carpet,13
place_on,hairbrush,13
place_on,easy chair,13
place_on,music equipment stand,13
place_on,fruit bowl,13
plug_in,laptop,13
polish,stairs railing,13
pull,blanket,13
pull,shower curtain,13
reposition,patio chair,13
reposition,shower hose,13
reposition,vent,13
reposition,side table,13
reposition,seat,13
rinse,dishwasher,13
scrub,shower tub,13
set_control,kettle,13
set_control,keyboard,13
set_control,piano stool,13
set_up,lamp,13
set_up,iron board,13
stack,case,13
store,newspaper,13
store,pliers,13
straighten,pouffe,13
straighten,curtain rail,13
straighten,coat hanger,13
straighten,hairbrush,13
straighten,chest drawer,13
turn_on,bed light,13
wipe,scale,13
wipe,ceiling duct,13
wipe,boiler,13
wipe,bedside cabinet,13
wipe,pad,13
wipe,ledge,13
wipe,partition,13
wipe,sink/basin,13
wipe,desk clutter,13
carry,laptop,12
carry,flashlight,12
carry,mirror,12
carry,trashcan,12
carry,shoe,12
carry,tool box,12
close,kitchen lower cabinet,12
dispose,recycle bin,12
dump,vacuum cleaner,12
dust,telephone,12
dust,ceiling under stairs,12
fold,curtain,12
inspect,cap,12
inspect,cutting board,12
inspect,cardboard box,12
inspect,bicycle,12
inspect,jar,12
inspect,beverage dispenser,12
inspect,sunglasses,12
inspect,coffee machine,12
inspect,whiteboard,12
inspect,archway,12
inspect,door knob,12
open,window shutters,12
pick_up,robe,12
pick_up,notebook,12
place_in,display cabinet,12
place_in,tool box,12
place_in,fridge,12
place_in,mini fridge,12
place_on,patio chair,12
place_on,candle,12
place_on,flashlight,12
place_on,washing powder,12
place_on,magazine,12
place_on,counter,12
polish,piano,12
reposition,decoration,12
reposition,tap,12
reposition,soundbar,12
reposition,wall sign,12
reposition,separator,12
scrub,bidet,12
set_control,cellular_telephone,12
set_control,telephone,12
set_control,mouse,12
set_up,desk,12
shake_out,pillow,12
stack,paper,12
store,ladder,12
store,blanket,12
store,umbrella,12
straighten,hat,12
straighten,pot,12
straighten,carpet,12
straighten,tv stand,12
straighten,ladder,12
straighten,bouquet,12
straighten,cap,12
straighten,exhibition panel,12
straighten,magazines,12
straighten,cabinet drawer,12
straighten,book display,12
turn_on,grill,12
turn_on,fireplace sconce,12
turn_on,hearth,12
wipe,stair step,12
wipe,flower vase,12
wipe,floor lamp,12
wipe,mixer,12
wipe,paneling,12
wipe,counter desk,12
wipe,garage door railing,12
wipe,cabinet table,12
wipe,hearth,12
attach,curtain rail,11
carry,toaster,11
carry,hairbrush,11
carry,exercise bike,11
carry,nightstand,11
carry,desk,11
carry,guitar,11
carry,statue,11
carry,floor mat,11
carry,cone,11
close,container,11
close,shower cabin,11
close,ventilation,11
dust,bedside cabinet,11
dust,light fixture,11
dust,mirror frame,11
dust,display table,11
dust,figure,11
fill,pot,11
hang,art frame,11
hang,wall hanger,11
inspect,power breaker box,11
inspect,crib,11
inspect,bowl,11
inspect,newspaper,11
inspect,cup,11
inspect,vase,11
inspect,treadmill,11
inspect,tool box,11
inspect,exercise equipment,11
inspect,aquarium,11
inspect,stack of papers,11
inspect,attic hatch,11
inspect,wall sign,11
inspect,coffee maker,11
inspect,schedule,11
inspect,iron,11
inspect,shovel,11
lift,storage box,11
load,towel,11
open,wash cabinet,11
open,kitchen cabinet drawer,11
pick_up,bottles of wine,11
pick_up,picture,11
pick_up,photo,11
pick_up,stationery,11
pick_up,bottle of detergent,11
pick_up,keys,11
place_in,hammer,11
place_in,bouquet,11
place_in,chassis,11
place_on,coffee_maker,11
place_on,tissue box,11
place_on,picture,11
place_on,case,11
place_on,glass,11
place_on,sideboard,11
place_on,brochure,11
place_on,decor,11
place_on,clothes hanger,11
polish,ceiling arch,11
press,cellular_telephone,11
reposition,step stool,11
reposition,shelving,11
reposition,flowerpot,11
reposition,highchair,11
reposition,shower hose/head,11
scrub,tap,11
scrub,cutting board,11
set_control,camera,11
set_up,drum,11
set_up,bar chair,11
set_up,couch,11
set_up,vase,11
smooth,bathroom towel,11
stack,container,11
start_machine,washing machine,11
store,hat,11
store,pillow,11
straighten,sink,11
straighten,tool,11
straighten,exercise equipment,11
straighten,shower rail,11
straighten,cabinet door,11
straighten,iron board,11
straighten,clothing stand,11
straighten,bunk bed,11
straighten,clothes hanger rod,11
turn_off,stove,11
vacuum,fireplace,11
wipe,bathroom towel,11
wipe,shower-bath cabinet,11
wipe,doormat,11
wipe,couch,11
wipe,coat rack,11
wipe,ottoman,11
wipe,platform,11
wipe,stair handle,11
align,frame,10
align,stool,10
align,keyboard,10
carry,printer,10
carry,firewood,10
carry,chest of drawers,10
carry,fan,10
carry,barrel,10
carry,computer_keyboard,10
carry,glass,10
close,fireplace,10
close,wall cabinet,10
close,doorway,10
dump,handbag,10
dust,flower stand,10
dust,beam,10
dust,bathroom cabinet,10
dust,decor,10
dust,computer,10
dust,hunting trophy,10
fill,toilet paper,10
hang,scarf,10
inspect,display cabinet,10
inspect,book rack,10
inspect,bathtub,10
inspect,suitcase,10
inspect,coffee table,10
inspect,laundry basket,10
inspect,window glass,10
inspect,paper towel,10
inspect,magazine,10
inspect,ceiling lamp,10
inspect,dining chair,10
inspect,light fixture,10
inspect,exercise machine,10
inspect,safe,10
lift,trash bag,10
open,bag,10
open,door/window,10
open,shutter,10
open,wall cabinet,10
pick_up,floor mat,10
pick_up,dishrag,10
pick_up,bin,10
pick_up,pile of magazines,10
pick_up,stack of books,10
place_in,bookshelf,10
place_in,stand,10
place_in,sink cabinet,10
place_in,binder,10
place_in,washer-dryer,10
place_in,clothes,10
place_in,door knob,10
place_on,dining table,10
place_on,guitar,10
place_on,food tray,10
place_on,chest of drawers,10
place_on,photo mount,10
place_on,can,10
place_on,chaise longue,10
place_on,beanbag,10
place_on,rocking chair,10
place_on,place mat,10
place_on,exercise ball,10
plug_in,printer,10
plug_in,camera,10
polish,display cabinet,10
polish,pillar,10
polish,candlestick,10
pour,bouquet,10
pull,desk chair,10
push,swivel chair,10
reposition,boiler,10
reposition,radiator,10
reposition,shower rail,10
reposition,mirror,10
reposition,closet rod,10
reposition,heater,10
reposition,stacked chair,10
reposition,umbrella,10
rinse,dish,10
set_control,coffee machine,10
set_control,music player,10
set_up,desk chair,10
set_up,printer,10
set_up,projector,10
set_up,stand,10
smooth,bed sheet,10
smooth,bath towel,10
start_machine,clothes dryer,10
store,tool box,10
straighten,shower-bath cabinet,10
straighten,wine_bottle,10
straighten,folding chair,10
straighten,monitor,10
straighten,mouse,10
straighten,kitchen countertop items,10
straighten,cabinet clutter,10
straighten,umbrella,10
straighten,wall board,10
straighten,pad,10
straighten,shelf with cosmetics,10
straighten,fireplace utensil,10
straighten,wall hanger,10
straighten,stack of files,10
straighten,bar cabinet,10
straighten,gym mat,10
tighten,shelf,10
turn_off,appliance,10
turn_off,radio,10
turn_on,wall clock,10
turn_on,pan,10
turn_on,stovetop,10
turn_on,roomba,10
wipe,kitchen wall,10
wipe,beam,10
wipe,cardboard box,10
wipe,showerhead,10
wipe,pillow,10
wipe,furnace,10
wipe,statue,10
wipe,weight bench,10
wipe,shower floor,10
wipe,bowl,10
wipe,ceiling lamp,10
wipe,exhibition panel,10
wipe,dog bed,10
wipe,copier machine,10
wipe,light fixture,10
wipe,shower stall,10
wipe,shower bar,10
wipe,shower handle,10
wipe,duct,10
wipe,stand/small table,10
align,desk chair,9
carry,ornament,9
carry,cap,9
carry,carpet,9
carry,throw blanket,9
carry,flower,9
carry,table lamp,9
carry,broom,9
carry,partition,9
carry,can of paint,9
close,washing machine,9
dump,cup,9
dust,handrail,9
dust,book,9
dust,curtain rod,9
dust,wall sign,9
dust,media console,9
dust,trophy,9
fill,bag,9
fill,bath,9
fill,refrigerator,9
fold,newspaper,9
inspect,pouffe,9
inspect,screen,9
inspect,bed table,9
inspect,closet door,9
inspect,bench,9
inspect,mirror frame,9
inspect,flower,9
inspect,staircase handrail,9
inspect,railing,9
inspect,pan,9
inspect,garage door railing,9
inspect,exercise ball,9
load,camera,9
load,case,9
load,storage box,9
open,shower door,9
open,luggage,9
open,ceiling door,9
open,air vent,9
open,locker,9
pick_up,box,9
pick_up,bottles,9
pick_up,alarm_clock,9
pick_up,rack,9
pick_up,saw,9
pick_up,scarf,9
pick_up,purse,9
pick_up,mat,9
pick_up,washing powder,9
pick_up,stick,9
place_in,wash cabinet,9
place_on,pouffe,9
place_on,oven,9
place_on,l-shaped sofa,9
place_on,shoe rack,9
place_on,kitchen island,9
place_on,coat rack,9
place_on,stove,9
place_on,floor lamp,9
place_on,kitchen shelf,9
place_on,figure,9
place_on,book display,9
polish,banister,9
polish,handrail,9
polish,dresser,9
polish,railing,9
polish,staircase handrail,9
polish,stained glass,9
polish,column,9
pull,armchair,9
reposition,bookshelf,9
reposition,ventilation hood,9
reposition,pipe,9
reposition,shower rod,9
reposition,coat rack,9
reposition,drawer,9
reposition,shutters,9
reposition,window shutter,9
rinse,bucket,9
rinse,dishes,9
scrub,cooker,9
scrub,oven and stove,9
set_control,shade,9
set_control,piano bench,9
set_up,computer,9
set_up,flowerpot,9
set_up,amplifier,9
shake_out,blanket,9
smooth,sheet,9
store,refrigerator,9
store,kitchen utensil,9
store,hanging clothes,9
store,basket of something,9
store,washing powder,9
straighten,laptop,9
straighten,towel,9
straighten,frame,9
straighten,firewood holder,9
straighten,bottles,9
straighten,keyboard,9
straighten,blanket,9
straighten,wall cubby,9
straighten,shoes rack,9
straighten,rack of weights,9
straighten,robe,9
straighten,bedpost,9
straighten,easy chair,9
straighten,calendar,9
straighten,seat,9
straighten,cabinet table,9
straighten,kitchen utensils,9
straighten,wall shelf,9
straighten,book cabinet,9
turn_off,bed light,9
turn_off,air conditioning,9
turn_on,alarm_clock,9
turn_on,lamp stand,9
turn_on,fluorescent light,9
turn_on,ceiling fan lamp,9
wipe,bed stand,9
wipe,vacuum cleaner,9
wipe,wine_bottle,9
wipe,bin,9
wipe,bedside lamp,9
wipe,bowl of fruit,9
wipe,cloth,9
wipe,bucket,9
wipe,arcade game,9
wipe,foot spa,9
wipe,coffee maker,9
wipe,bathroom utensil,9
wipe,pitcher,9
wipe,support beam,9
wipe,entertainment set,9
wipe,shop shelf,9
wipe,seat,9
wipe,media console,9
wipe,door/window,9
align,office chair,8
align,acoustic panel,8
align,bench,8
carry,drum,8
carry,hanging clothes,8
carry,heater,8
carry,bouquet,8
carry,hammer,8
carry,pad,8
carry,sculpture,8
carry,beanbag,8
carry,exercise machine,8
close,toilet,8
close,locker,8
close,microwave,8
close,glass door,8
close,counter door,8
close,partition,8
close,ceiling window,8
dump,barrel,8
dust,refrigerator,8
dust,poster,8
dust,elephant sculpture,8
dust,wall board,8
dust,entertainment set,8
fill,bath tub,8
fill,paper towel,8
fill,bathrobe,8
fill,coffee_maker,8
inspect,closet mirror wall,8
inspect,cloth,8
inspect,brochure,8
inspect,cooker,8
inspect,dishrag,8
inspect,parapet,8
inspect,chest,8
inspect,side table,8
inspect,folder,8
inspect,mixer,8
inspect,water dispenser,8
inspect,wine rack,8
inspect,copier,8
load,wardrobe,8
open,file cabinet,8
open,glass door,8
open,shades,8
pick_up,wood,8
pick_up,tool box,8
pick_up,drill,8
pick_up,coffee machine,8
pick_up,bicycle helmet,8
pick_up,electric guitar,8
pick_up,dog leash,8
pick_up,shoes,8
place_in,decorative plant,8
place_in,sofa seat,8
place_in,flashlight,8
place_in,microwave_oven,8
place_in,pitcher,8
place_in,stack of papers,8
place_in,locker,8
place_on,newspaper,8
place_on,kitchen counter,8
place_on,kitchen table,8
place_on,set of armchairs,8
place_on,end table,8
place_on,bowl of fruits,8
place_on,shower curtain,8
place_on,pad,8
place_on,paper towels,8
place_on,towel bar,8
place_on,display table,8
place_on,piano bench,8
polish,faucet,8
polish,stair handle,8
push,sliding door,8
reposition,pliers,8
reposition,ceiling vent,8
reposition,window shutters,8
reposition,amplifier,8
reposition,machine,8
reposition,vase,8
reposition,piano stool,8
reposition,column,8
scrub,faucet,8
scrub,stovetop,8
scrub,sink/basin,8
set,speaker,8
set_control,tv stand,8
set_control,shades,8
set_up,folding chair,8
store,stuffed animal,8
store,shelf,8
store,stool,8
store,glass,8
store,bathrobe,8
store,pot,8
store,board game,8
straighten,mat,8
straighten,yoga mat,8
straighten,bathroom counter,8
straighten,notes,8
straighten,floor lamp,8
straighten,computer chair,8
straighten,fireplace tool set,8
straighten,door cabinet,8
straighten,statue,8
straighten,stationery,8
straighten,rocking chair,8
straighten,file,8
straighten,media console,8
straighten,shower shelf,8
straighten,decorative cloth,8
straighten,holy cross,8
tighten,stairs railing,8
tighten,handle,8
turn_off,toaster,8
turn_off,laptop_computer,8
turn_on,sink,8
turn_on,boiler,8
turn_on,washing machine and dryer,8
turn_on,shower dial,8
vacuum,armchair,8
vacuum,sofa seat,8
wipe,mop,8
wipe,office chair,8
wipe,food tray,8
wipe,flower stand,8
wipe,container,8
wipe,sunbed,8
wipe,basket,8
wipe,rail,8
wipe,tiles,8
wipe,cabinet counter,8
wipe,workstation,8
wipe,exercise ball,8
wipe,recessed cubby,8
wipe,footrest,8
wipe,desk cabinet,8
wipe,podium,8
wipe,slab,8
align,table,7
align,bar chair,7
align,pillow,7
align,monitor,7
attach,railing,7
carry,picture,7
carry,firewood holder,7
carry,yoga mat,7
carry,floor stand,7
carry,small table/stand,7
carry,hanger,7
carry,stone,7
carry,amplifier,7
carry,gym equipment,7
carry,exercise mat,7
close,backpack,7
close,mirror,7
close,doorpost,7
close,fuse box,7
dump,toaster,7
dust,microwave,7
dust,figurine,7
dust,stone support structure,7
dust,baseboard,7
dust,desk chair,7
dust,headboard,7
dust,ceiling duct,7
dust,dartboard,7
dust,mantle,7
dust,garage door motor,7
fill,bowl of fruit,7
fill,faucet,7
fill,beverage dispenser,7
fill,tissue,7
fill,paper towel dispenser,7
fluff,sofa chair,7
fold,scarf,7
hang,photo,7
inspect,trash_can,7
inspect,container,7
inspect,storage cabinet,7
inspect,paper,7
inspect,stair step,7
inspect,curtain,7
inspect,door window,7
inspect,antique clock,7
inspect,refrigerator cabinet,7
inspect,tv stand,7
inspect,hanging clothes,7
inspect,exit sign,7
inspect,water tank,7
inspect,office chair,7
inspect,ceiling pipe,7
inspect,stone support structure,7
inspect,coat rack,7
inspect,table lamp,7
inspect,bucket,7
inspect,bottle,7
inspect,note,7
inspect,seat,7
inspect,smoke alarm,7
inspect,menu board,7
load,basket,7
load,laptop_computer,7
lock,cabinet /otherroom,7
mop,stair,7
mop,shower floor,7
open,container,7
open,shower cabin,7
open,sink cabinet,7
open,ventilation,7
open,shampoo,7
pick_up,plant,7
pick_up,flower vase,7
pick_up,basket of something,7
pick_up,knife holder,7
pick_up,board,7
pick_up,papers,7
pick_up,stool,7
pick_up,binder,7
pick_up,board game,7
pick_up,clothes_hamper,7
pick_up,blouse,7
place_in,plant,7
place_in,hat,7
place_in,kitchen lower cabinet,7
place_in,suitcase,7
place_in,chair,7
place_in,stairs railing,7
place_in,file cabinet,7
place_in,binders,7
place_in,pillow,7
place_in,knife,7
place_in,stuffed animal,7
place_in,recycle bin,7
place_on,bath mat,7
place_on,sofa,7
place_on,telephone,7
place_on,bathrobe,7
place_on,toy,7
place_on,bench,7
place_on,footrest,7
place_on,bathroom accessory,7
place_on,paper towel,7
place_on,bed comforter,7
place_on,poster,7
place_on,cloth,7
place_on,display cabinet,7
place_on,decorative quilt,7
place_on,dumbbell,7
place_on,boxes with books,7
place_on,hand towel,7
place_on,crate,7
plug_in,computer,7
plug_in,telephone,7
polish,lamp,7
polish,ornament,7
polish,coffee table,7
polish,pitcher,7
polish,hunting trophy,7
pour,pot,7
pull,bed,7
push,cart,7
reposition,table cloth,7
reposition,storage shelving,7
reposition,bean bag chair,7
reposition,display cabinet,7
reposition,dog bed,7
reposition,exercise machine,7
scrub,microwave,7
scrub,shower hose,7
scrub,countertop,7
set,cellular_telephone,7
set_control,wall tv,7
set_control,electric guitar,7
set_up,treadmill,7
set_up,music equipment stand,7
smooth,pet bed,7
stack,bag,7
stack,stacked chair,7
stack,stack of plates,7
store,keyboard,7
store,hanger,7
straighten,laptop_computer,7
straighten,stack of clothes,7
straighten,knife holder,7
straighten,binders,7
straighten,rug,7
straighten,brochures,7
straighten,shelf with shoes,7
straighten,firewood,7
straighten,music album shelf,7
straighten,cardboard,7
straighten,cloth,7
straighten,desk cabinet,7
straighten,bathroom mat,7
tighten,tap,7
tighten,sink,7
tighten,faucet,7
turn_off,microwave,7
turn_off,light,7
turn_on,projector,7
turn_on,sauna oven,7
turn_on,machine,7
wipe,food,7
wipe,cabinet clutter,7
wipe,record player,7
wipe,bicycle,7
wipe,paper towel,7
wipe,closet,7
wipe,hanger,7
wipe,cup,7
wipe,door cabinet,7
wipe,lounger,7
wipe,device,7
wipe,baseboard,7
wipe,desk lamp,7
wipe,lamp table,7
wipe,toaster oven,7
wipe,ceiling under stairs,7
wipe,shower dial,7
wipe,garage door motor,7
wipe,bar cabinet,7
wipe,gym equipment,7
wipe,surface,7
wipe,bath faucet,7
wipe,bedside table,7
wipe,kitchen sink cabinet,7
align,mirror frame,6
align,photo,6
align,wall sign,6
align,picture frame,6
attach,stairs railing,6
carry,mop,6
carry,briefcase,6
carry,globe,6
carry,sunglasses,6
carry,hat,6
carry,dumbbell,6
carry,computer chair,6
close,computer,6
close,bag,6
close,vent,6
close,folder,6
close,umbrella,6
close,electric box,6
close,elevator door,6
cover,clothes dryer,6
cover,clothes_hamper,6
dump,wine_bottle,6
dump,paper storage,6
dump,bottle,6
dump,fridge,6
dust,guitar,6
dust,window glass,6
dust,stair step,6
dust,record player,6
dust,camera,6
dust,window curtain,6
dust,case,6
dust,screen,6
dust,kitchen cabinet,6
dust,lamp table,6
dust,ceiling dome,6
dust,stair wall,6
dust,model,6
fill,flowerpot,6
fluff,stack of pillows,6
hang,curtain,6
hang,closet,6
hang,dog leash,6
hang,clothes hanger rod,6
inspect,wall tv,6
inspect,washer-dryer,6
inspect,ceiling duct,6
inspect,sofa seat,6
inspect,kitchen utensil,6
inspect,ventilation hood,6
inspect,door/window,6
inspect,fence,6
inspect,microwave_oven,6
inspect,amplifier,6
inspect,wash cabinet,6
inspect,ceiling fan,6
inspect,support beam,6
inspect,bulletin board,6
inspect,shoe,6
inspect,electric kettle,6
inspect,washbasin,6
inspect,soupspoon,6
inspect,typewriter,6
inspect,christmas tree,6
load,clothes,6
lock,wardrobe,6
lock,attic door,6
mop,bathroom floor,6
open,storage cabinet,6
open,counter door,6
open,shade,6
open,safe,6
open,elevator door,6
open,box with photos,6
pick_up,stack of clothes,6
pick_up,clothes hanger,6
pick_up,detergent,6
pick_up,bouquet,6
pick_up,dishes,6
pick_up,chair,6
pick_up,pad,6
pick_up,washing stuff,6
pick_up,doll,6
pick_up,pitchfork,6
place_in,paper,6
place_in,storage cabinet,6
place_in,decoration,6
place_in,wall cabinet,6
place_in,computer_keyboard,6
place_in,firewood,6
place_in,storage bin,6
place_in,crib,6
place_on,drum,6
place_on,decorative bowl,6
place_on,exercise equipment,6
place_on,closet shelf,6
place_on,cardboard box,6
place_on,fireplace,6
place_on,boxes,6
place_on,ceiling lamp,6
place_on,doormat,6
place_on,music player,6
place_on,decorative vase,6
place_on,throw blanket,6
place_on,dinnerware,6
place_on,lounger,6
place_on,brochures,6
place_on,painting,6
place_on,heater,6
place_on,suitcase,6
place_on,binder,6
place_on,sofa set,6
place_on,dinner chair,6
place_on,sheet,6
place_on,magazines,6
place_on,sign,6
place_on,spice rack,6
place_on,coaster,6
place_on,circular sofa,6
polish,decorative plate,6
polish,mirror frame,6
polish,handle,6
polish,violin,6
polish,pot,6
polish,pedestal,6
pull,bar chair,6
reposition,sofa seat,6
reposition,handrail,6
reposition,exercise equipment,6
reposition,photo mount,6
reposition,hammer,6
reposition,exercise bike,6
reposition,chest of drawers,6
reposition,bar,6
reposition,cabinet door,6
reposition,bed table,6
reposition,railing,6
reposition,lounger,6
reposition,electrical box,6
reposition,headboard,6
reposition,dinner chair,6
reposition,bathroom cabinet,6
reposition,coffee table,6
reposition,wine rack,6
reposition,round chair,6
rinse,tap,6
scrub,mirror,6
scrub,shower curtain,6
scrub,shower door frame,6
scrub,bath faucet,6
set_control,microwave,6
set_control,lamp shade,6
set_up,keyboard piano,6
set_up,sofa,6
set_up,dartboard,6
set_up,chess,6
shake_out,curtain,6
stack,wood,6
stack,magazines,6
start_machine,laundry machine,6
store,chest of drawers,6
store,cutting board,6
store,dishes,6
store,magazine,6
store,computer_keyboard,6
store,kitchen appliance,6
store,broom,6
store,folder,6
straighten,kitchen counter,6
straighten,camera,6
straighten,stack of towels,6
straighten,washbasin,6
straighten,jacket,6
straighten,shower curtain rod,6
straighten,radiator,6
straighten,tool rack,6
straighten,end table,6
straighten,dressing table,6
straighten,lounge chair,6
straighten,small table/stand,6
straighten,sitting bench,6
straighten,plate,6
straighten,railing,6
straighten,closet shelving,6
straighten,beanbag,6
straighten,artwork,6
straighten,wreath,6
straighten,kitchen countertop item,6
straighten,laundry,6
straighten,furniture,6
straighten,shower caddy,6
straighten,board game,6
straighten,art/clutter,6
straighten,gym equipment,6
straighten,bags,6
straighten,wine cabinet,6
straighten,vinyl records,6
turn_off,kettle,6
turn_off,record player,6
turn_off,ceiling fan lamp,6
turn_off,night lamp,6
turn_on,electric heater,6
turn_on,barbecue,6
turn_on,antique clock,6
turn_on,lamp shade,6
turn_on,vent,6
turn_on,dehumidifier,6
wipe,bath towel,6
wipe,curtain rail,6
wipe,window shutter,6
wipe,window shutters,6
wipe,elevator,6
wipe,window shade,6
wipe,closet shelf,6
wipe,sofa,6
wipe,rug,6
wipe,cart,6
wipe,shower rail,6
wipe,shelf clutter,6
wipe,brush,6
wipe,kettle,6
wipe,music player,6
wipe,panel,6
wipe,solarium,6
wipe,counter door,6
wipe,curtain rod,6
wipe,wall cubby,6
wipe,trolley,6
wipe,cellular_telephone,6
wipe,plate of food,6
wipe,clothes,6
wipe,artwork,6
wipe,alarm_clock,6
wipe,trough,6
wipe,wine rack,6
wipe,waffle iron,6
wipe,baby changing station,6
wipe,tank,6
wipe,gym stepper,6
wipe,foosball game table,6
wipe,easel,6
wipe,kitchen chair,6
wipe,shower pipe,6
wipe,bath side table,6
wipe,baby changing table,6
align,sunbed,5
align,couch,5
align,panel screen,5
attach,staircase handrail,5
carry,doormat,5
carry,newspaper,5
carry,pc tower,5
carry,magazine,5
carry,machine,5
carry,dustpan,5
carry,lounger,5
carry,can,5
carry,trolley,5
carry,hose,5
carry,shovel,5
carry,electric guitar,5
carry,music equipment stand,5
close,refrigerator cabinet,5
close,curtain rail,5
close,book,5
close,monitor,5
close,door cabinet,5
close,fuse panel,5
close,display cabinet,5
close,storage box,5
close,shower curtain rod,5
close,safe,5
dump,washer-dryer,5
dump,toilet,5
dump,suitcase,5
dump,rack,5
dump,sink cabinet,5
dump,can,5
dump,shelf,5
dust,toaster,5
dust,bed stand,5
dust,candlestick,5
dust,dining chair,5
dust,attic hatch,5
dust,range hood,5
dust,dustbin,5
dust,calendar,5
dust,computer_keyboard,5
dust,globe stand,5
dust,partition,5
dust,spa bench,5
dust,doorpost,5
dust,paneling,5
dust,cabinet table,5
dust,painting frame,5
dust,window shade,5
dust,fireplace shelf,5
dust,podium,5
fill,bath towel,5
fill,container,5
fill,tissue box,5
fill,electric kettle,5
fluff,bed,5
fold,blankets,5
hang,broom,5
hang,cloth,5
inspect,food,5
inspect,grill,5
inspect,doormat,5
inspect,stair,5
inspect,bathroom shelf,5
inspect,step stool,5
inspect,shower curtain,5
inspect,shower cabin,5
inspect,recuperator,5
inspect,liquid soap,5
inspect,can,5
inspect,shower hose/head,5
inspect,throw blanket,5
inspect,sofa chair,5
inspect,water fountain,5
inspect,guitar,5
inspect,rope,5
inspect,bedframe,5
inspect,art frame,5
inspect,audio cables,5
inspect,spice rack,5
inspect,duct,5
inspect,set of knives,5
inspect,book cabinet,5
inspect,smoke detector,5
lift,screw box,5
load,refrigerator,5
lock,door window,5
open,keyboard piano,5
open,bottle_opener,5
open,box with books,5
open,freezer,5
open,violin case,5
open,electric box,5
open,washer-dryer,5
pick_up,firewood,5
